"施設名称","所在地","施設名かな","カテゴリ","分類","TEL","FAX","URL","URL2","バリアフリー情報","詳細情報","備考","経度","緯度","分類"
"太左衛門橋公衆トイレ","大阪市中央区道頓堀1-5","たざえもんばしこうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","便器数　　男性用　小：３　　男女兼用車いす対応：１","","135.5033192","34.6688974900003","車いす対応公衆便所"
"城北公園　公衆トイレ５","大阪市旭区生江3丁目 29-60","","公衆トイレ","公衆便所","","","","","","","","135.5399132","34.7302112000003","公衆便所"
"江野公園　公衆トイレ","大阪市旭区中宮2丁目 18-22","えのこうえん　こうしゅうといれ","公衆トイレ","公衆便所","","","","","","","","135.5423468","34.7235842000002","公衆便所"
"旭公園　公衆トイレ１","大阪市旭区高殿5丁目 7-23","あさひこうえん　こうしゅうといれ１","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5404859","34.7193317000002","車いす対応公衆便所"
"旭公園　公衆トイレ２","大阪市旭区高殿5丁目 7-63","あさひこうえん　こうしゅうといれ２","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5407979","34.7175954000003","車いす対応公衆便所"
"旭公園　公衆トイレ３","大阪市旭区高殿5丁目 8-15","あさひこうえん　こうしゅうといれ３","公衆トイレ","公衆便所","","","","","","","","135.5398728","34.7179542000003","公衆便所"
"太子橋中公園　公衆トイレ","大阪市旭区太子橋2丁目 7-14","たいしばしひがしこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5553748","34.7360674000002","車いす対応公衆便所"
"高殿７公園　公衆トイレ","大阪市旭区高殿7丁目 15-15","たかどの７こうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5491347","34.7179531000002","車いす対応公衆便所"
"蒲生公園　公衆トイレ","大阪市城東区中央3丁目 5-17","がもうこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5442865","34.7044606000002","車いす対応公衆便所"
"鯰江公園　公衆トイレ","大阪市城東区今福西6丁目 5-26","なまずえこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5524865","34.7041095000003","車いす対応公衆便所"
"西関目公園　公衆トイレ","大阪市城東区関目1丁目 7-23","にしせきめこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5481773","34.7084436000002","車いす対応公衆便所"
"成育公園　公衆トイレ","大阪市城東区成育3丁目 18-25","せいいくこうえん　こうしゅうといれ","公衆トイレ","公衆便所","","","","","","","","135.5437866","34.7092715000002","公衆便所"
"左専道公園　公衆トイレ","大阪市城東区永田2丁目 12-25","させんどうこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5571212","34.6862441000002","車いす対応公衆便所"
"東中浜公園　公衆トイレ","大阪市城東区東中浜5丁目 3-31","ひがしなかはまこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5486718","34.6846778000002","車いす対応公衆便所"
"東今福公園　公衆トイレ","大阪市城東区今福東2丁目 11-6","ひがしいまふくこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5583325","34.7030054000002","車いす対応公衆便所"
"西放出公園　公衆トイレ","大阪市城東区放出西2丁目 15-5","にしはなてんこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5573212","34.6928051000002","車いす対応公衆便所"
"鴫野公園　公衆トイレ","大阪市城東区鴫野西4丁目 11-52","しぎのこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5409286","34.6915712000003","車いす対応公衆便所"
"鴫野北公園　公衆トイレ","大阪市城東区鴫野東1丁目 5-35","しぎのきたこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.544812","34.6954024000003","車いす対応公衆便所"
"中之島公園　公衆トイレ１","大阪市北区中之島1丁目 1","なかのしまこうえん　こうしゅうといれ１","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5074816","34.6927194000003","車いす対応公衆便所"
"中之島公園　公衆トイレ２","大阪市北区中之島1丁目 1","なかのしまこうえん　こうしゅうといれ２","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5103598","34.6916997000003","車いす対応公衆便所"
"毛馬桜之宮公園　公衆トイレ（川崎橋横）","大阪市北区天満1丁目 1-139","けまさくらのみやこうえん　こうしゅうといれ１","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5211078","34.6936384000003","車いす対応公衆便所"
"毛馬桜之宮公園　公衆トイレ（天満橋北）","大阪市北区天満1丁目 5-2","けまさくらのみやこうえん　こうしゅうといれ","公衆トイレ","公衆便所","","","","","","便器数　　男性用　和：１　小：２　　女性用　和：２","","135.5176806","34.6920218000003","公衆便所"
"都島公園　公衆トイレ","大阪市都島区都島中通2丁目 22-8","みやこじまこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","便器数　　男性用　小：２　　男女兼用　和：１　　車椅子対応：１","","135.5305025","34.7059040000003","車いす対応公衆便所"
"毛馬桜之宮公園　公衆トイレ（市公館横（1））","大阪市都島区網島町10","けまさくらのみやこうえん　こうしゅうといれ２","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5237827","34.6955789000003","車いす対応公衆便所"
"毛馬桜之宮公園　公衆トイレ（艇庫横北）","大阪市都島区中野町1丁目 10-8","けまさくらのみやこうえん　こうしゅうといれ３","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5230549","34.7007105900003","車いす対応公衆便所"
"毛馬桜之宮公園　公衆トイレ（ＪＲ北側）","大阪市都島区中野町5丁目 12-4","けまさくらのみやこうえん　こうしゅうといれ４","公衆トイレ","車いす対応公衆便所","","","","","","","","135.518927","34.7059044000003","車いす対応公衆便所"
"毛馬桜之宮公園　公衆トイレ（友渕南）","大阪市都島区友渕町1丁目 1-6","けまさくらのみやこうえん　こうしゅうといれ５","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5224862","34.7155190100003","車いす対応公衆便所"
"八幡屋公園　公衆トイレ１","大阪市港区田中3丁目 1-116","やはたやこうえん　こうしゅうといれ１","公衆トイレ","車いす対応公衆便所","","","","","","","","135.447043400001","34.6617419000005","車いす対応公衆便所"
"八幡屋公園　公衆トイレ２","大阪市港区田中3丁目 1-30","やはたやこうえん　こうしゅうといれ２","公衆トイレ","車いす対応公衆便所","","","","","","","","135.447350600001","34.6596752000005","車いす対応公衆便所"
"八幡屋公園　公衆トイレ３","大阪市港区田中3丁目 1-43","やはたやこうえん　こうしゅうといれ３","公衆トイレ","車いす対応公衆便所","","","","","","","","135.445898000001","34.6596800000005","車いす対応公衆便所"
"城北公園　公衆トイレ１","大阪市旭区生江3丁目 29-73","しろきたこうえん　こうしゅうといれ１","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5401612","34.7290647000003","車いす対応公衆便所"
"城北公園　公衆トイレ２","大阪市旭区生江3丁目 29-32","しろきたこうえん　こうしゅうといれ２","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5383266","34.7300717000003","車いす対応公衆便所"
"城北公園　公衆トイレ３","大阪市旭区生江3丁目 29-101","しろきたこうえん　こうしゅうといれ３","公衆トイレ","車いす対応公衆便所","","","","","","","","135.537981","34.7284083000003","車いす対応公衆便所"
"城北公園　公衆トイレ４","大阪市旭区生江3丁目 29-125","しろきたこうえん　こうしゅうといれ４","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5359483","34.7293980000003","車いす対応公衆便所"
"靭公園　公衆トイレ１","大阪市西区靱本町2丁目 1-53","うつぼこうえん　こうしゅうといれ１","公衆トイレ","車いす対応公衆便所","","","","","","","","135.489420100001","34.6835287000004","車いす対応公衆便所"
"靭公園　公衆トイレ２","大阪市西区靱本町1丁目 9-58","うつぼこうえん　こうしゅうといれ２","公衆トイレ","車いす対応公衆便所","","","","","","","","135.493119600001","34.6852794000004","車いす対応公衆便所"
"靭公園　公衆トイレ３","大阪市西区靱本町1丁目 9-83","うつぼこうえん　こうしゅうといれ３","公衆トイレ","車いす対応公衆便所","","","","","","","","135.495043700001","34.6863298000004","車いす対応公衆便所"
"靭公園　公衆トイレ４","大阪市西区靱本町1丁目 8-11","うつぼこうえん　こうしゅうといれ４","公衆トイレ","車いす対応公衆便所","","","","","","","","135.4961366","34.6860524000004","車いす対応公衆便所"
"天王寺公園　公衆トイレ２","大阪市天王寺区茶臼山町","てんのうじこうえん　こうしゅうといれ２","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5118771","34.6480167000003","車いす対応公衆便所"
"天王寺公園　公衆トイレ３","大阪市天王寺区茶臼山町","てんのうじこうえん　こうしゅうといれ３","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5110652","34.6492811000003","車いす対応公衆便所"
"天王寺公園　公衆トイレ４","大阪市天王寺区茶臼山町","てんのうじこうえん　こうしゅうといれ４","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5097137","34.6496306000003","車いす対応公衆便所"
"天王寺公園　公衆トイレ５","大阪市天王寺区茶臼山町","てんのうじこうえん　こうしゅうといれ５","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5122025","34.6519001000003","車いす対応公衆便所"
"長居公園　公衆トイレ（相撲場横）","大阪市東住吉区長居公園1","ながいこうえん　こうしゅうといれ　すもうじょうまえ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5169287","34.6124247600003","車いす対応公衆便所"
"長居公園　公衆トイレ（南西入口）","大阪市東住吉区長居公園1","ながいこうえん　こうしゅうといれ１","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5148768","34.6105174600003","車いす対応公衆便所"
"長居公園　公衆トイレ（南西角）","大阪市東住吉区長居公園1","ながいこうえん　こうしゅうといれ２","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5165213","34.6096476800003","車いす対応公衆便所"
"長居公園　公衆トイレ（矢田口）","大阪市東住吉区長居公園1","ながいこうえん　こうしゅうといれ３","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5265123","34.6098044200003","車いす対応公衆便所"
"長居公園　公衆トイレ（植物園前）","大阪市東住吉区長居公園1","ながいこうえん　こうしゅうといれ４","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5200187","34.6114225500003","車いす対応公衆便所"
"長居公園　公衆トイレ（田辺口）","大阪市東住吉区長居公園1","ながいこうえん　こうしゅうといれ５","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5263245","34.6147889500003","車いす対応公衆便所"
"長居公園　公衆トイレ（プール横）","大阪市東住吉区長居公園1","ながいこうえん　こうしゅうといれ６","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5197639","34.6133099600003","車いす対応公衆便所"
"大阪城公園　公衆トイレ２","大阪市中央区大阪城0 1-1","おおさかじょうこうえん　こうしゅうといれ２","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5253949","34.6867671000003","車いす対応公衆便所"
"大阪城公園　公衆トイレ３","大阪市中央区大阪城0 1-1","おおさかじょうこうえん　こうしゅうといれ３","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5251011","34.6857293000003","車いす対応公衆便所"
"大阪城公園　公衆トイレ４","大阪市中央区大阪城0 1-1","おおさかじょうこうえん　こうしゅうといれ４","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5283081","34.6867671000003","車いす対応公衆便所"
"大阪城公園　公衆トイレ５","大阪市中央区城見1丁目 1-3","おおさかじょうこうえん　こうしゅうといれ５","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5261899","34.6897228000003","車いす対応公衆便所"
"大阪城公園　公衆トイレ６","大阪市中央区大阪城0 3-29","おおさかじょうこうえん　こうしゅうといれ６","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5228758","34.6884025000003","車いす対応公衆便所"
"大阪城公園　公衆トイレ７","大阪市中央区大阪城0 2-1","おおさかじょうこうえん　こうしゅうといれ７","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5255243","34.6844746000003","車いす対応公衆便所"
"大阪城公園　公衆トイレ８","大阪市中央区大阪城0 2-24","おおさかじょうこうえん　こうしゅうといれ８","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5215822","34.6856255000003","車いす対応公衆便所"
"大阪城公園　公衆トイレ９","大阪市中央区大阪城0 2-21","","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5220168","34.6835480000003","車いす対応公衆便所"
"大阪城公園　公衆トイレ１１","大阪市中央区大阪城0 3-13","おおさかじょうこうえん　こうしゅうといれ１１","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5296489","34.6823719000003","車いす対応公衆便所"
"大阪城公園　公衆トイレ１２","大阪市中央区大阪城0 3-11","おおさかじょうこうえん　こうしゅうといれ１２","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5304297","34.6842623000003","車いす対応公衆便所"
"大阪城公園　公衆トイレ１３","大阪市中央区大阪城0 3-7","おおさかじょうこうえん　こうしゅうといれ１３","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5320905","34.6836266000003","車いす対応公衆便所"
"大阪城公園　公衆トイレ１４","大阪市中央区大阪城0 3-10","おおさかじょうこうえん　こうしゅうといれ１４","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5329778","34.6823169000003","車いす対応公衆便所"
"大阪城公園　公衆トイレ１５","大阪市中央区大阪城0 3-4","おおさかじょうこうえん　こうしゅうといれ１５","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5332284","34.6863409000003","車いす対応公衆便所"
"大阪城公園　公衆トイレ１６","大阪市中央区城見1丁目 4-82","おおさかじょうこうえん　こうしゅうといれ１６","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5323398","34.6890647000003","車いす対応公衆便所"
"大阪城公園　公衆トイレ１８","大阪市中央区城見1丁目 1-33","おおさかじょうこうえん　こうしゅうといれ１８","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5285224","34.6899008000003","車いす対応公衆便所"
"花博記念公園鶴見緑地　公衆トイレ２","大阪市鶴見区緑地公園","はなはくきねんこうえんつるみりょくち　こうしゅうといれ２","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5779457","34.7163489000002","車いす対応公衆便所"
"花博記念公園鶴見緑地　公衆トイレ３","大阪市鶴見区緑地公園","はなはくきねんこうえんつるみりょくち　こうしゅうといれ３","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5784692","34.7152690000002","車いす対応公衆便所"
"花博記念公園鶴見緑地　公衆トイレ４","大阪市鶴見区緑地公園","はなはくきねんこうえんつるみりょくち　こうしゅうといれ４","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5775758","34.7139251000002","車いす対応公衆便所"
"花博記念公園鶴見緑地　公衆トイレ５","大阪市鶴見区緑地公園","はなはくきねんこうえんつるみりょくち　こうしゅうといれ５","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5760572","34.7119927000002","車いす対応公衆便所"
"花博記念公園鶴見緑地　公衆トイレ６","大阪市鶴見区緑地公園","はなはくきねんこうえんつるみりょくち　こうしゅうといれ６","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5778197","34.7115706000002","車いす対応公衆便所"
"花博記念公園鶴見緑地　公衆トイレ７","大阪市鶴見区緑地公園","はなはくきねんこうえんつるみりょくち　こうしゅうといれ７","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5762405","34.7107650000002","車いす対応公衆便所"
"花博記念公園鶴見緑地　公衆トイレ８","大阪市鶴見区緑地公園","はなはくきねんこうえんつるみりょくち　こうしゅうといれ８","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5786908","34.7092637000002","車いす対応公衆便所"
"花博記念公園鶴見緑地　公衆トイレ９","大阪市鶴見区緑地公園","はなはくきねんこうえんつるみりょくち　こうしゅうといれ９","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5729917","34.7109341000002","車いす対応公衆便所"
"花博記念公園鶴見緑地　公衆トイレ１０","大阪市鶴見区緑地公園","はなはくきねんこうえんつるみりょくち　こうしゅうといれ１０","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5722856","34.7129260000002","車いす対応公衆便所"
"花博記念公園鶴見緑地　公衆トイレ１１","大阪市鶴見区緑地公園","はなはくきねんこうえんつるみりょくちち　こうしゅうといれ１１","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5692679","34.7106956000002","車いす対応公衆便所"
"花博記念公園鶴見緑地　公衆トイレ１２","大阪市鶴見区緑地公園","はなはくきねんこうえんつるみりょくち　こうしゅうといれ１２","公衆トイレ","車いす対応公衆便所","","","","","","","","135.569619","34.7126691000002","車いす対応公衆便所"
"花博記念公園鶴見緑地　公衆トイレ１３","大阪市鶴見区緑地公園","はなはくきねんこうえんつるみりょくち　こうしゅうといれ１３","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5690409","34.7163235000002","車いす対応公衆便所"
"花博記念公園鶴見緑地　公衆トイレ１４","大阪市鶴見区緑地公園","はなはくきねんこうえんつるみりょくち　こうしゅうといれ１４","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5728772","34.7160104000002","車いす対応公衆便所"
"花博記念公園鶴見緑地　公衆トイレ１７","大阪市鶴見区緑地公園","はなはくきねんこうえんつるみりょくち　こうしゅうといれ１７","公衆トイレ","車いす対応公衆便所","","","","","","","","135.563655","34.7115322000002","車いす対応公衆便所"
"扇町公園　公衆トイレ１","大阪市北区扇町2丁目 2-9","おうぎまちこうえん　こうしゅうといれ１","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5087725","34.7047368000003","車いす対応公衆便所"
"鶴満寺公園　公衆トイレ","大阪市北区長柄東1丁目 3-15","かくまんじこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5161607","34.7112121000003","車いす対応公衆便所"
"天六","大阪市北区天神橋6丁目 4-20","てんろく","公衆トイレ","車いす対応公衆便所","","","","","","便器数　　男性用　洋：１　和：１　小：２　　女性用　洋：１　和：１　　男女兼用車いす対応：１","","135.5114425","34.7105656000003","車いす対応公衆便所"
"大正橋公衆トイレ","大阪市大正区三軒家東1-1","たいしょうばしこうしゅうといれ","公衆トイレ","公衆便所","","","","","","便器数　　男性用　小：２　　男女兼用　和：１","","135.479868700001","34.6667841300004","公衆便所"
"鶴町北公園　公衆トイレ","大阪市大正区鶴町4丁目 4-11","つるまちきたこうえん　こうしゅうといれ","公衆トイレ","公衆便所","","","","","","便器数　　男性用　小：１　　男女兼用　和：１","","135.454280000001","34.6438319000005","公衆便所"
"生玉町公衆トイレ","大阪市天王寺区生玉町13","いくたまちょうこうしゅうといれ","公衆トイレ","公衆便所","","","","","","便器数　　男性用　小：２　　男女兼用　洋：１","","135.5129941","34.6659017000003","公衆便所"
"五条公園　公衆トイレ","大阪市天王寺区烏ケ辻2丁目 5-37","ごじょうこうえん　こうしゅうといれ","公衆トイレ","公衆便所","","","","","","便器数　　男性用　小：２　　男女兼用　和：１","","135.5240926","34.6578999000003","公衆便所"
"御霊神社横公衆トイレ","大阪市中央区淡路町4","ごりょうじんじゃよここうしゅうといれ","公衆トイレ","公衆便所","","","","","","便器数　　男性用　小：２　　男女兼用　和：１","","135.4989098","34.6876043900004","公衆便所"
"新世界公衆トイレ","大阪市浪速区恵美須東1-18","しんせかいこうしゅうといれ","公衆トイレ","公衆便所","","","","","","便器数　　男性用　小：２　　男女兼用　和：２","","135.5059718","34.6525450800004","公衆便所"
"相合橋公衆トイレ","大阪市中央区宗右衛門町","あいあうばしこうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","便器数　　男性用　小：１　　女性用　洋：１　　男女兼用車いす対応：１","","135.504368","34.6692129500004","車いす対応公衆便所"
"野里公園　公衆トイレ","大阪市西淀川区野里1丁目 9-17","のざとこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","便器数　　男性用　小：２　　男女兼用　和：１　　車椅子対応：１","","135.463341800001","34.7087649000005","車いす対応公衆便所"
"大野川遊歩道公衆トイレ","大阪市西淀川区御幣島3-1","おおのがわゆうほどうこうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","便器数　　男性用　和：１　小：２　　女性用　和：２　　男女兼用　車いす対応：１","","135.460077000001","34.7155035800005","車いす対応公衆便所"
"南中本公園　公衆トイレ","大阪市東成区大今里西1丁目 10-1","みなみなかもとこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","便器数　　男性用　小：２　　男女兼用　和：１　　車椅子対応：１","","135.5421319","34.6742732000003","車いす対応公衆便所"
"大今里公園　公衆トイレ","大阪市東成区大今里4丁目 16-23","おおいまざとこうえん　こうしゅうといれ","公衆トイレ","公衆便所","","","","","","便器数　　男性用　和：１　小：２　　女性用　和：１","","135.5486893","34.6686406000002","公衆便所"
"千林町公衆トイレ","大阪市旭区千林1-11","せんばやしちょうこうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","便器数　　男性用　車いす対応：１　女性用　洋：１　車いす対応：１","","135.5548152","34.7242581700002","車いす対応公衆便所"
"山坂公園　公衆トイレ","大阪市東住吉区山坂2丁目 19-33","やまさかこうえん　こうしゅうといれ","公衆トイレ","公衆便所","","","","","","便器数　　男性用　小：２　　男女兼用　和：１","","135.5218921","34.6230148000003","公衆便所"
"平野公園　公衆トイレ１","大阪市平野区平野東2丁目 11-15","ひらのこうえん　こうしゅうといれ１","公衆トイレ","車いす対応公衆便所","","","","","","便器数　　男性用　小：２　　男女兼用　和：１　　車椅子対応：１","","135.5597797","34.6233224000002","車いす対応公衆便所"
"浦江公園　公衆トイレ","大阪市北区大淀南3丁目 3-43","うらえこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.483026300001","34.7014220000004","車いす対応公衆便所"
"豊崎西公園　公衆トイレ","大阪市北区豊崎5丁目 5-13","とよさきにしこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.4981598","34.7113676000004","車いす対応公衆便所"
"南天満公園　公衆トイレ１","大阪市北区天神橋1丁目 2-4","みなみてんまこうえん　こうしゅうといれ１","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5125798","34.6923217000003","車いす対応公衆便所"
"本庄公園　公衆トイレ","大阪市北区本庄西3丁目 11-8","ほんじょうこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5040449","34.7151465000004","車いす対応公衆便所"
"滝川公園　公衆トイレ","大阪市北区天満4丁目 7-9","たきがわこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5144278","34.6939329000003","車いす対応公衆便所"
"与力町公園　公衆トイレ","大阪市北区与力町5","よりきちょうこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5147721","34.7014135000003","車いす対応公衆便所"
"長柄東公園　公衆トイレ","大阪市北区長柄東1丁目 6-37","ながらひがしこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5196196","34.7121621000003","車いす対応公衆便所"
"内代公園　公衆トイレ","大阪市都島区内代町3丁目 3-19","うちんだいこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5365729","34.7133872000003","車いす対応公衆便所"
"友渕中央公園　公衆トイレ","大阪市都島区友渕町1丁目 3-54","ともぶちちゅうおうこうえん　こうしゅうといれ","公衆トイレ","公衆便所","","","","","","","","135.5246787","34.7192379000003","公衆便所"
"都島中央公園　公衆トイレ","大阪市都島区中野町5丁目 15-50","みやこじまちゅうおうこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5226104","34.7069072000003","車いす対応公衆便所"
