"施設名称","所在地","施設名かな","カテゴリ","分類","TEL","FAX","URL","URL2","バリアフリー情報","詳細情報","備考","経度","緯度","分類"
"東小橋北公園　公衆トイレ","大阪市東成区東小橋1丁目 9-12","ひがしこはしきたこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.533473","34.6731890000003","車いす対応公衆便所"
"東深江公園　公衆トイレ","大阪市東成区深江北3丁目 16-8","ひがしふかえこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5621445","34.6756794000002","車いす対応公衆便所"
"桃谷公園　公衆トイレ","大阪市生野区桃谷1丁目 2-53","ももだにこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.529721","34.6599940000003","車いす対応公衆便所"
"巽公園　公衆トイレ","大阪市生野区巽西1丁目 7-10","たつみこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5465341","34.6517826000002","車いす対応公衆便所"
"巽大地公園　公衆トイレ","大阪市生野区巽中3丁目 9-3","たつみだいちこうえん　こうしゅうといれ","公衆トイレ","公衆便所","","","","","","","","135.5509086","34.6479306000002","公衆便所"
"巽東緑地　公衆トイレ","大阪市生野区巽東4丁目 11-47","たつみひがしりょくち　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5605801","34.6449069000002","車いす対応公衆便所"
"今津公園　公衆トイレ１","大阪市鶴見区今津中2丁目 3-54","いまづこうえん　こうしゅうといれ１","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5696924","34.6913696000002","車いす対応公衆便所"
"今津公園　公衆トイレ２","大阪市鶴見区今津中2丁目 3-23","いまづこうえん　こうしゅうといれ２","公衆トイレ","車いす対応公衆便所","","","","","","","","135.571079","34.6910590000002","車いす対応公衆便所"
"茨田大宮西公園　公衆トイレ","大阪市鶴見区茨田大宮2丁目 7-24","まったおおみやにしこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5940156","34.7117231000002","車いす対応公衆便所"
"茨田大宮中央公園　公衆トイレ","大阪市鶴見区茨田大宮4丁目 23-45","まったおおみやちゅうおうこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5981099","34.7124804000001","車いす対応公衆便所"
"鶴見中央公園　公衆トイレ","大阪市鶴見区鶴見1丁目 6-128","つるみちゅうおうこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5656473","34.6976964000002","車いす対応公衆便所"
"長池公園　公衆トイレ","大阪市阿倍野区長池町14","ながいけこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5187337","34.6232056000003","車いす対応公衆便所"
"桃ヶ池公園　公衆トイレ","大阪市阿倍野区桃ケ池町1丁目 6-11","ももがいけこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5217554","34.6308307000003","車いす対応公衆便所"
"聖天山公園　公衆トイレ","大阪市阿倍野区松虫通3丁目 2-55","","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5039734","34.6359493000004","車いす対応公衆便所"
"中加賀屋公園　公衆トイレ","大阪市住之江区中加賀屋1丁目 5-5","なかかがやこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.481926800001","34.6194576000004","車いす対応公衆便所"
"浜口西公園　公衆トイレ","大阪市住之江区浜口西2丁目 6-14","はまぐちにしこうえん　こうしゅうといれ","公衆トイレ","公衆便所","","","","","","","","135.483739100001","34.6106843000004","公衆便所"
"北加賀屋公園　公衆トイレ","大阪市住之江区北加賀屋5丁目 3-11","きたかがやこうえん　こうしゅうといれ","公衆トイレ","公衆便所","","","","","","","","135.475823400001","34.6224068000004","公衆便所"
"新北島東公園　公衆トイレ","大阪市住之江区新北島3丁目 5-4","しんきたじまひがしこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.469907300001","34.6070400000005","車いす対応公衆便所"
"浜口公園　公衆トイレ","大阪市住之江区浜口西3丁目 4-9","はまぐちこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.484145400001","34.6082400000004","車いす対応公衆便所"
"柴谷公園　公衆トイレ","大阪市住之江区柴谷2丁目 7-26","しばたにこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.465893200001","34.6172900000005","車いす対応公衆便所"
"敷津浦東公園　公衆トイレ","大阪市住之江区御崎7丁目 15-36","しきつうらひがしこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.479335600001","34.6031075000004","車いす対応公衆便所"
"南港中央公園　公衆トイレ１","大阪市住之江区南港東8丁目 5-135","なんこうちゅうおうこうえん　こうしゅうといれ１","公衆トイレ","車いす対応公衆便所","","","","","","","","135.431354800001","34.6317392000006","車いす対応公衆便所"
"南港中央公園　公衆トイレ２","大阪市住之江区南港東8丁目 5-18","なんこうちゅうおうこうえん　こうしゅうといれ２","公衆トイレ","車いす対応公衆便所","","","","","","","","135.433101100001","34.6325249000006","車いす対応公衆便所"
"南港中央公園　公衆トイレ３","大阪市住之江区南港東8丁目 5-36","なんこうちゅうおうこうえん　こうしゅうといれ３","公衆トイレ","車いす対応公衆便所","","","","","","","","135.434529400001","34.6310384000006","車いす対応公衆便所"
"平林泉公園　公衆トイレ","大阪市住之江区泉２丁目 1","ひらばやしいずみこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.462162700001","34.6129806000005","車いす対応公衆便所"
"清水丘公園　公衆トイレ","大阪市住吉区清水丘2丁目 22-5","しみずがおかこうえん　こうしゅうといれ","公衆トイレ","公衆便所","","","","","","","","135.491733000001","34.6023663000004","公衆便所"
"おりおの南公園　公衆トイレ","大阪市住吉区遠里小野7丁目 5-7","おりおのみなみこうえん　こうしゅうといれ","公衆トイレ","公衆便所","","","","","","","","135.492707200001","34.5967373000004","公衆便所"
"万代池公園　公衆トイレ１","大阪市住吉区万代3丁目 7-82","まんだいいけこうえん　こうしゅうといれ１","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5035234","34.6203802000004","車いす対応公衆便所"
"万代池公園　公衆トイレ２","大阪市住吉区万代3丁目 7-53","まんだいいけこうえん　こうしゅうといれ２","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5010582","34.6200043000004","車いす対応公衆便所"
"沢之町公園　公衆トイレ","大阪市住吉区南住吉3丁目 15-29","さわのちょうこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5015163","34.6038832000004","車いす対応公衆便所"
"山之内西公園　公衆トイレ","大阪市住吉区山之内5丁目 3-36","やまのうちにしこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5005266","34.5890550000004","車いす対応公衆便所"
"浅香中央公園　公衆トイレ１","大阪市住吉区浅香1丁目 6-68","あさかちゅうおうこうえん　こうしゅうといれ１","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5089423","34.5916315000003","車いす対応公衆便所"
"浅香中央公園　公衆トイレ２","大阪市住吉区浅香1丁目 6-20","あさかちゅうおうこうえん　こうしゅうといれ２","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5101873","34.5907744000003","車いす対応公衆便所"
"万領中央公園　公衆トイレ","大阪市住吉区万代東3丁目 1-55","まんりょうちゅうおうこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5042955","34.6164805000004","車いす対応公衆便所"
"育和公園　公衆トイレ","大阪市東住吉区杭全8丁目 8-31","いくわこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5423576","34.6328837000002","車いす対応公衆便所"
"平野白鷺公園　公衆トイレ１","大阪市東住吉区今川6丁目 7-54","ひらのしらさぎこうえん　こうしゅうといれ１","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5422201","34.6277077000003","車いす対応公衆便所"
"平野白鷺公園　公衆トイレ２","大阪市東住吉区今川6丁目 8-27","ひらのしらさぎこうえん　こうしゅうといれ２","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5419884","34.6264954000003","車いす対応公衆便所"
"今川公園　公衆トイレ","大阪市東住吉区今川4丁目 23-17","いまがわこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5346527","34.6264799000003","車いす対応公衆便所"
"矢田公園　公衆トイレ","大阪市東住吉区住道矢田1丁目 7-34","やたこうえん　こうしゅうといれ","公衆トイレ","公衆便所","","","","","","","","135.5327063","34.6009595000003","公衆便所"
"うるし堤公園　公衆トイレ","大阪市東住吉区今川1丁目 1-7","うるしつつみこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5347295","34.6312203000003","車いす対応公衆便所"
"照ヶ丘矢田公園　公衆トイレ","大阪市東住吉区照ケ丘矢田1丁目 16-37","てるがおかやたこうえん　こうしゅうといれ","公衆トイレ","公衆便所","","","","","","","","135.5344311","34.6083760000003","公衆便所"
"矢田教育の森公園　公衆トイレ","大阪市東住吉区矢田5丁目 2-38","やたきょういくのもりこうえん　こうしゅうといれ","公衆トイレ","公衆便所","","","","","","","","135.5282455","34.5995420000003","公衆便所"
"鞍作公園　公衆トイレ","大阪市平野区加美南1丁目 11-25","くらつくりこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5710028","34.6228271000002","車いす対応公衆便所"
"平野西公園　公衆トイレ","大阪市平野区平野西3丁目 5-7","ひらのにしこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5459829","34.6193304000003","車いす対応公衆便所"
"長吉東部中央公園　公衆トイレ","大阪市平野区長吉長原東2丁目 6-53","ながよしとうぶちゅうおうこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5774006","34.6034148000002","車いす対応公衆便所"
"長吉出戸公園　公衆トイレ","大阪市平野区長吉出戸1丁目 11-40","ながよしでとこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.565336","34.6132937000002","車いす対応公衆便所"
"喜連西中央公園　公衆トイレ","大阪市平野区喜連西2丁目 1-39","きれにしちゅうおうこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.541161","34.6130590000003","車いす対応公衆便所"
"川辺大和川公園　公衆トイレ","大阪市平野区長吉長原西4丁目 5-48","かわなべやまとがわこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5672225","34.5964862000002","車いす対応公衆便所"
"天下茶屋公園　公衆トイレ","大阪市西成区岸里東1丁目 16-21","てんがちゃやこうえん　こうしゅうといれ","公衆トイレ","公衆便所","","","","","","","","135.4973257","34.6326332000004","公衆便所"
"西皿池公園　公衆トイレ","大阪市西成区潮路1丁目 4-25","にしさらいけこうえん　こうしゅうといれ","公衆トイレ","公衆便所","","","","","","","","135.493266400001","34.6367933000004","公衆便所"
"玉出西公園　公衆トイレ","大阪市西成区玉出西1丁目 9-15","たまでにしこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.489625600001","34.6266806000004","車いす対応公衆便所"
"北津守公園　公衆トイレ","大阪市西成区北津守3丁目 10-23","きたつもりこうえん　こうしゅうといれ","公衆トイレ","公衆便所","","","","","","","","135.481211300001","34.6504306000004","公衆便所"
"西成公園　公衆トイレ","大阪市西成区津守1丁目 13-14","にしなりこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.482016400001","34.6461691000004","車いす対応公衆便所"
"南津守中央公園　公衆トイレ","大阪市西成区南津守7丁目 10-37","みなみつもりちゅうおうこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.483396200001","34.6257625000004","車いす対応公衆便所"
"南津守さくら公園　公衆トイレ","大阪市西成区南津守1丁目 3-4","みなみつもりさくらこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.483622600001","34.6359788000004","車いす対応公衆便所"
"鶴見橋中央公園　公衆トイレ","大阪市西成区鶴見橋2丁目５","つるみばしちゅうおうこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.492545500001","34.6463517000004","車いす対応公衆便所"
"瓦屋町公園　公衆トイレ2","大阪市中央区瓦屋町2丁目 9-25","かわらやまちこうえん　こうしゅうといれ2","公衆トイレ","公衆便所","","","","","","","","135.5128452","34.6703993000003","公衆便所"
"平野公園　公衆トイレ２","大阪市平野区平野東2丁目 11-46","ひらのこうえん　こうしゅうといれ２","公衆トイレ","車いす対応公衆便所","","","","","","","","135.5591181","34.6221196000002","車いす対応公衆便所"
"ポートタウン東駅前公衆トイレ","大阪市住之江区南港中2-1","ぽーとたうんひがしえきまえこうしゅうといれ","公衆トイレ","車いす対応公衆便所","06-6572-2674","","","","","障害者用トイレあり","","135.430104600001","34.6311444900006","車いす対応公衆便所"
"舞洲運動広場（公衆便所）","大阪市此花区北港緑地1丁目 2-25","","公衆トイレ","車いす対応公衆便所","","","","","","【男性用】洋：1　和：2　小：10　【女性用】洋：4　和：5　【障がい者用】洋：1","","135.401131600001","34.6629991000008","車いす対応公衆便所"
"常吉西臨港緑地便所（北）","大阪市此花区常吉2-13","つねよしにしりんこうりょくちこうしゅうべんじょ（きた）","公衆トイレ","車いす対応公衆便所","","","","","","【男性用】和：1　小：2　【女性用】和：2　【障がい者用】洋：1","","135.411291300001","34.6754891000007","車いす対応公衆便所"
"常吉西臨港緑地便所（南）","大阪市此花区常吉2-13","つねよしにしりんこうりょくちこうしゅうべんじょ（みなみ）","公衆トイレ","車いす対応公衆便所","","","","","","【男性用】和：1　小：2　【女性用】和：2　【障がい者用】洋：1","","135.409825500001","34.6729212200007","車いす対応公衆便所"
"野鳥園臨港緑地（公衆便所）","大阪市住之江区南港北2丁目 5-103","やちょうえんりんこうりょくちこうしゅうべんじょ","公衆トイレ","公衆便所","","","","","","【男性用】和：1　小：2　【女性用】和：1","","135.402135500001","34.6370409000007","公衆便所"
"野鳥園臨港緑地（公衆便所）","大阪市住之江区南港北3丁目 5-50","やちょうえんりんこうりょくちこうしゅうべんじょ","公衆トイレ","車いす対応公衆便所","","","","","","【男性用】洋：1　和：1　小：3　【女性用】洋：1　和：2　【障がい者用】洋：1","","135.401048100001","34.6347312000008","車いす対応公衆便所"
"天保山ハーバービレッジ（公衆便所）","大阪市港区海岸通１","てんぽうざんはーばーびれっじこうしゅうべんじょ","公衆トイレ","車いす対応公衆便所","","","","","","【男性用】和：1　小：2　【女性用】和：2　【障がい者用】洋：1","","135.431050200001","34.6561051000006","車いす対応公衆便所"
"舞洲体育館（公衆便所）","大阪市此花区北港緑地2丁目 2-49","","公衆トイレ","車いす対応公衆便所","","","","","","【男性用】洋：1(乳幼児イス設置)　和：1　小：5　【女性用】洋：2(1箇所乳幼児イス設置)　和：3　【障がい者用】洋：2(2箇所とも乳幼児ベッド設置)","","135.396461300001","34.6647731000008","車いす対応公衆便所"
"蕪村公園　公衆トイレ","大阪市都島区毛馬町１丁目１２ 城北公園通","ぶそんこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.520086","34.7181850000003","車いす対応公衆便所"
"大阪城公園　公衆トイレ１０","大阪市中央区大阪城３－１５","おおさかじょうこうえん　こうしゅうといれ１０","公衆トイレ","車いす対応公衆便所","","","","","","","","135.52722","34.6826510000003","車いす対応公衆便所"
"歌島公園　公衆トイレ","大阪市西淀川区御幣島５丁目７","うたじまこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.458357000001","34.7192070000005","車いす対応公衆便所"
"中島公園　公衆トイレ３","大阪市西淀川区中島１丁目３５－１０４","なかじまこうえん　こうしゅうといれ３","公衆トイレ","車いす対応公衆便所","","","","","","","","135.423574000001","34.7009420000006","車いす対応公衆便所"
"中島公園　公衆トイレ４","大阪市西淀川区中島２丁目３－８７","なかじまこうえん　こうしゅうといれ４","公衆トイレ","車いす対応公衆便所","","","","","","","","135.421343000001","34.7021590000006","車いす対応公衆便所"
"新森中央公園　公衆トイレ","大阪市旭区新森４丁目２２－３２","しんもりちゅうおうこうえん　こうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","","","135.556524","34.7180880000002","車いす対応公衆便所"
"花博記念公園鶴見緑地　公衆トイレ１８","大阪市鶴見区緑地公園","はなはくきねんこうえんつるみりょくち　こうしゅうといれ１８","公衆トイレ","車いす対応公衆便所","","","","","","","","135.580376","34.7143480000002","車いす対応公衆便所"
"花博記念公園鶴見緑地　公衆トイレ１９","大阪市鶴見区緑地公園","はなはくきねんこうえんつるみりょくち　こうしゅうといれ１９","公衆トイレ","車いす対応公衆便所","","","","","","","","135.56983","34.7143970000002","車いす対応公衆便所"
"花博記念公園鶴見緑地　公衆トイレ２０","大阪市鶴見区緑地公園","はなはくきねんこうえんつるみりょくち　こうしゅうといれ２０","公衆トイレ","車いす対応公衆便所","","","","","","","","135.576412","34.7160060000002","車いす対応公衆便所"
"花博記念公園鶴見緑地　公衆トイレ２１","大阪市鶴見区緑地公園","はなはくきねんこうえんつるみりょくち　こうしゅうといれ２１","公衆トイレ","車いす対応公衆便所","","","","","","","","135.58057","34.7073280000002","車いす対応公衆便所"
"花博記念公園鶴見緑地　公衆トイレ２２","大阪市鶴見区緑地公園","はなはくきねんこうえんつるみりょくち　こうしゅうといれ２２","公衆トイレ","車いす対応公衆便所","","","","","","","","135.580392","34.7056120000002","車いす対応公衆便所"
"花博記念公園鶴見緑地　公衆トイレ２３","大阪市鶴見区緑地公園","はなはくきねんこうえんつるみりょくち　こうしゅうといれ２３","公衆トイレ","車いす対応公衆便所","","","","","","","","135.574347","34.7108600000002","車いす対応公衆便所"
"花博記念公園鶴見緑地　公衆トイレ２４","大阪市鶴見区緑地公園","はなはくきねんこうえんつるみりょくち　こうしゅうといれ２４","公衆トイレ","車いす対応公衆便所","","","","","","","","135.57984","34.7129770000002","車いす対応公衆便所"
"花博記念公園鶴見緑地　公衆トイレ２５","大阪市鶴見区緑地公園","はなはくきねんこうえんつるみりょくち　こうしゅうといれ２５","公衆トイレ","車いす対応公衆便所","","","","","","","","135.570136","34.7098770000002","車いす対応公衆便所"
"花博記念公園鶴見緑地　公衆トイレ２６","大阪市鶴見区緑地公園","はなはくきねんこうえんつるみりょくち　こうしゅうといれ２６","公衆トイレ","車いす対応公衆便所","","","","","","","","135.56748","34.7117770000002","車いす対応公衆便所"
"弁天町公衆トイレ","大阪市港区波除3-11","べんてんちょうこうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","便器数　男性用　洋：１　小：２　　男女兼用　車いす対応（ｵｽﾄﾒｲﾄ有）：１","","135.462724100001","34.6694247200005","車いす対応公衆便所"
"天王寺公園南口公衆トイレ","大阪市西成区山王1-17","てんのうじこうえんみなみぐちこうしゅうといれ","公衆トイレ","公衆便所","","","","","","便器数　　男性用　小：４　　男女兼用　和：１","","135.5057708","34.6488536400004","公衆便所"
"東入船町公衆トイレ","大阪市西成区萩之茶屋1-14","ひがしいりふねちょうこうしゅうといれ","公衆トイレ","公衆便所","","","","","","便器数　　男性用　小：２　　男女兼用　和：１","","135.5024798","34.6469847000004","公衆便所"
"萩之茶屋北公園公衆トイレ","大阪市西成区萩之茶屋1-13","はぎのちゃやきたこうえんこうしゅうといれ","公衆トイレ","車いす対応公衆便所","","","","","","便器数　　男性用　小：２　　男女兼用　車いす対応（ｵｽﾄﾒｲﾄ有）：１","","135.500857","34.6476179800004","車いす対応公衆便所"
"今池町公衆トイレ","大阪市西成区萩之茶屋2-2","いまいけちょうこうしゅうといれ","公衆トイレ","公衆便所","","","","","","便器数　　男性用　小：２　　男女兼用　和：１","","135.5021715","34.6457357700004","公衆便所"
"北港白津ふ頭港湾労働者休憩所（ウイング舞洲）","大阪市此花区北港白津1-12-60","ほっこうしらつふとうこうわんろうどうしゃきゅうけいじょ（ういんぐまいしま）","公衆トイレ","公衆便所","","","","","","","","135.407390000001","34.6602400000007","公衆便所"
"大阪港湾労働者福祉センター","大阪市港区港晴2-14-25","おおさかこうわんろうどうしゃふくしせんたー","公衆トイレ","公衆便所","","","","","","","","135.443230000001","34.6536500000006","公衆便所"
"第3突堤港湾労働者便所","大阪市港区海岸通4-5","だい３とっていこうわんろうどうしゃべんじょ","公衆トイレ","公衆便所","","","","","","","","135.449340000001","34.6469400000005","公衆便所"
"安治川1号港湾労働者休憩所","大阪市港区石田3-3-38","あじがわ１ごうこうわんろうどうしゃきゅうけいじょ","公衆トイレ","公衆便所","","","","","","","","135.442660000001","34.6610700000006","公衆便所"
"安治川2号港湾労働者休憩所","大阪市港区石田1-5-41","あじかわ２ごうこうわんろうどうしゃきゅうけいじょ","公衆トイレ","公衆便所","","","","","","","","135.449790000001","34.6682400000005","公衆便所"
"マーメイド広場便所","大阪市港区海岸通1","まーめいどひろばべんじょ","公衆トイレ","公衆便所","","","","","","","","135.428665900001","34.6537501000006","公衆便所"
"大阪第2港湾労働者福祉センター","大阪市大正区小林西1-25-2","おおさかだい２こうわんろうどうしゃふくしせんたー","公衆トイレ","公衆便所","","","","","","","","135.465050000001","34.6452400000005","公衆便所"
"大正第1突堤港湾労働者便所","大阪市大正区小林西1-31","たいしょうだい１とっていこうわんろうどうしゃべんじょ","公衆トイレ","公衆便所","","","","","","","","135.462430000001","34.6451900000005","公衆便所"
"南港コンテナふ頭港湾労働者便所","大阪市住之江区南港東5-1","なんこうこんてなふとうこうわんろうどうしゃべんじょ","公衆トイレ","公衆便所","","","","","","","","135.437700000001","34.6298100000006","公衆便所"
"南港中ふ頭港湾労働者便所","大阪市住之江区南港中6-7","なんこうなかふとうこうわんろうどうしゃべんじょ","公衆トイレ","公衆便所","","","","","","","","135.412390000001","34.6297300000007","公衆便所"
"南港ポートタウン東駅前広場","大阪市住之江区南港中2-1","なんこうぽーとたうんひがしえきまえひろば","公衆トイレ","公衆便所","","","","","","","","135.429274200001","34.6314129600006","公衆便所"
"南港南ふ頭港湾労働者便所","大阪市住之江区南港南6-1","なんこうみなみふとうこうわんろうどうしゃべんじょ","公衆トイレ","公衆便所","","","","","","","","135.411010000001","34.6151300000007","公衆便所"
"南港重量物ふ頭港湾労働者休憩所（ウイング南港）","大阪市住之江区南港北3-3-3","なんこうじゅうりょうぶつふとうこうわんろうどうしゃきゅうけいじょ（ういんぐなんこう）","公衆トイレ","公衆便所","","","","","","","","135.401340000001","34.6341900000007","公衆便所"
"加賀屋緑地　公衆トイレ・事務所","大阪市住之江区南加賀屋4","","公衆トイレ","公衆便所","","","","","","","","135.475520800001","34.6021438200004","公衆便所"
"毛馬桜之宮公園　公衆トイレ（川崎橋側）","大阪市北区天満１丁目1-139","","公衆トイレ","公衆便所","","","","","","","","135.5211533","34.6937067600003","公衆便所"
"毛馬桜之宮公園　公衆トイレ（艇庫横）","大阪市都島区中野町１丁目10-8","","公衆トイレ","公衆便所","","","","","","","","135.5230952","34.7006201800003","公衆便所"
"毛馬桜之宮公園　公衆トイレ（友渕北）","大阪市都島区友渕町１丁目1-6","","公衆トイレ","公衆便所","","","","","","","","135.522497","34.7155763300003","公衆便所"
"毛馬桜之宮公園　公衆トイレ（藤田邸跡）","大阪市都島区網島町10","","公衆トイレ","公衆便所","","","","","","","","135.5238889","34.6948006000003","公衆便所"
"毛馬桜之宮公園　公衆トイレ（市公館横（2））","大阪市都島区網島町10","","公衆トイレ","公衆便所","","","","","","","","135.5238167","34.6956628700003","公衆便所"
"正蓮寺川公園　公衆トイレ","大阪市此花区朝日2","","公衆トイレ","公衆便所","","","","","","","","135.458775700001","34.6858995300005","公衆便所"
"南港東公園　公衆トイレ","大阪市住之江区南港東2-1外","","公衆トイレ","公衆便所","","","","","","","","135.443004400001","34.6123011400006","公衆便所"
"六反さくら公園　公衆トイレ","大阪市平野区長吉六反1","","公衆トイレ","公衆便所","","","","","","","","135.5807814","34.6096741700002","公衆便所"
